REGION,TECHNOLOGY,VALUE
GLOBAL,PWRSPVECUXX01,30.0
GLOBAL,PWRSPVGTMXX01,30.0
GLOBAL,PWRSPVHNDXX01,30.0
GLOBAL,PWRSPVHTIXX01,30.0
GLOBAL,PWRSPVJAMXX01,30.0
GLOBAL,PWRSPVMEXXX01,30.0
GLOBAL,PWRSPVNICXX01,30.0
GLOBAL,PWRSPVPANXX01,30.0
GLOBAL,PWRSPVPERXX01,30.0
GLOBAL,PWRSPVPRYXX01,30.0
GLOBAL,PWRSPVSLVXX01,30.0
GLOBAL,PWRSPVURYXX01,30.0
GLOBAL,PWRTRNARGXX,50.0
GLOBAL,PWRTRNBOLXX,50.0
GLOBAL,PWRTRNBRAXX,50.0
GLOBAL,PWRTRNCHLXX,50.0
GLOBAL,PWRTRNCOLXX,50.0
GLOBAL,PWRTRNCRIXX,50.0
GLOBAL,PWRTRNDOMXX,50.0
GLOBAL,PWRTRNECUXX,50.0
GLOBAL,PWRTRNGTMXX,50.0
GLOBAL,PWRTRNHNDXX,50.0
GLOBAL,PWRTRNHTIXX,50.0
GLOBAL,PWRTRNJAMXX,50.0
GLOBAL,PWRTRNMEXXX,50.0
GLOBAL,PWRTRNNICXX,50.0
GLOBAL,PWRTRNPANXX,50.0
GLOBAL,PWRTRNPERXX,50.0
GLOBAL,PWRTRNPRYXX,50.0
GLOBAL,PWRTRNSLVXX,50.0
GLOBAL,PWRTRNURYXX,50.0
GLOBAL,PWRURNARGXX01,60.0
GLOBAL,PWRURNBOLXX01,60.0
GLOBAL,PWRURNBRAXX01,60.0
GLOBAL,PWRURNCHLXX01,60.0
GLOBAL,PWRURNCOLXX01,60.0
GLOBAL,PWRURNCRIXX01,60.0
GLOBAL,PWRURNDOMXX01,60.0
GLOBAL,PWRURNECUXX01,60.0
GLOBAL,PWRURNGTMXX01,60.0
GLOBAL,PWRURNHNDXX01,60.0
GLOBAL,PWRURNHTIXX01,60.0
GLOBAL,PWRURNJAMXX01,60.0
GLOBAL,PWRURNMEXXX01,60.0
GLOBAL,PWRURNNICXX01,60.0
GLOBAL,PWRURNPANXX01,60.0
GLOBAL,PWRURNPERXX01,60.0
GLOBAL,PWRURNPRYXX01,60.0
GLOBAL,PWRURNSLVXX01,60.0
GLOBAL,PWRURNURYXX01,60.0
GLOBAL,PWRWASARGXX01,30.0
GLOBAL,PWRWASBOLXX01,30.0
GLOBAL,PWRWASBRAXX01,30.0
GLOBAL,PWRWASCHLXX01,30.0
GLOBAL,PWRWASCOLXX01,30.0
GLOBAL,PWRWASCRIXX01,30.0
